Date,Open,High,Low,Close,Adj Close,Volume
2014-06-06,18.666668,18.821667,18.636667,18.813334,18.422438,4090200
2014-06-09,18.795000,19.001667,18.750000,18.865000,18.473038,5227800
2014-06-10,18.796667,18.879999,18.676666,18.878332,18.486092,3364200
2014-06-11,18.678333,18.733334,18.546667,18.688334,18.300039,7002000
2014-06-12,18.598333,18.633333,18.153334,18.280001,17.900190,7797000
2014-06-13,18.385000,18.490000,18.203333,18.446667,18.063395,5378400
2014-06-16,18.363333,18.596666,18.299999,18.478333,18.094398,7670400
2014-06-17,18.400000,18.673332,18.350000,18.626667,18.239656,4940400
2014-06-18,18.631666,19.078333,18.530001,19.051666,18.655823,7263600
2014-06-19,19.094999,19.145000,18.913334,19.115000,18.717842,5232600
2014-06-20,19.251667,19.258333,19.160000,19.231667,18.832088,4194600
2014-06-23,19.233334,19.254999,19.105000,19.208332,18.809237,3601800
2014-06-24,19.098333,19.383333,18.793333,18.860001,18.468138,7804200
2014-06-25,18.719999,19.155001,18.719999,19.094999,18.710661,5202600
2014-06-26,19.105000,19.106667,18.676666,19.066668,18.682899,6040800
2014-06-27,18.920000,19.184999,18.900000,19.173332,18.787411,4389600
2014-06-30,19.135000,19.266666,19.083332,19.143333,18.758020,5452200
2014-07-01,19.276667,19.690001,19.258333,19.516666,19.123840,6843000
2014-07-02,19.516666,19.643333,19.495001,19.568333,19.174469,3365400
2014-07-03,19.736668,19.885000,19.706667,19.863333,19.463526,2761800
2014-07-07,19.751667,19.798332,19.568333,19.666668,19.270821,4858200
2014-07-08,19.538334,19.559999,19.131666,19.291668,18.903372,7863600
2014-07-09,19.410000,19.581667,19.298332,19.533333,19.140169,4413000
2014-07-10,18.971666,19.453333,18.918333,19.298332,18.909899,6649200
2014-07-11,19.276667,19.416668,19.138332,19.389999,18.999718,5122800
2014-07-14,19.666668,19.748333,19.600000,19.661667,19.265921,3822000
2014-07-15,19.709999,19.821667,19.309999,19.559999,19.166298,6394200
2014-07-16,19.809999,19.861668,19.620001,19.773333,19.375336,5541000
2014-07-17,19.584999,19.816668,19.016666,19.094999,18.710661,10151400
2014-07-18,19.295000,19.736668,19.250000,19.676666,19.280617,5113800
2014-07-21,19.493334,19.616667,19.296667,19.556667,19.163033,4987800
2014-07-22,19.771667,19.924999,19.726667,19.820000,19.421064,5198400
2014-07-23,19.908333,20.016666,19.796667,19.953333,19.551718,4213200
2014-07-24,20.026667,20.078333,19.905001,19.958332,19.556614,3999000
2014-07-25,19.791668,19.840000,19.561666,19.684999,19.288780,4369800
2014-07-28,19.678333,19.783333,19.348333,19.696667,19.300220,4892400
2014-07-29,19.801666,19.883333,19.440001,19.446667,19.055244,5259600
2014-07-30,19.651667,19.723333,19.213333,19.446667,19.055244,8706600
2014-07-31,19.051666,19.091667,18.275000,18.293333,17.925129,17741400
2014-08-01,18.136667,18.480000,17.866667,18.116667,17.752018,12415800
2014-08-04,18.233334,18.628332,17.996668,18.506666,18.134163,5824200
2014-08-05,18.280001,18.428333,17.776667,17.958332,17.596870,9675600
2014-08-06,17.723333,18.216667,17.709999,17.976667,17.614838,7220400
2014-08-07,18.225000,18.283333,17.561666,17.681667,17.325771,8645400
2014-08-08,17.803333,18.341667,17.674999,18.298332,17.930025,7465800
2014-08-11,18.506666,18.713333,18.443333,18.473333,18.101501,8124600
2014-08-12,18.410000,18.558332,18.226667,18.385000,18.014950,6241800
2014-08-13,18.611668,18.820000,18.516666,18.783333,18.405266,9732600
2014-08-14,18.850000,19.021667,18.796667,19.020000,18.637169,3668400
2014-08-15,19.228333,19.290001,18.605000,19.011667,18.629005,12942600
2014-08-18,19.333332,19.518333,19.296667,19.480000,19.087914,6212400
2014-08-19,19.625000,19.840000,19.578333,19.786667,19.388403,6118200
2014-08-20,19.709999,20.020000,19.708332,19.953333,19.551718,5515800
2014-08-21,20.008333,20.201668,19.958332,20.129999,19.724829,3670200
2014-08-22,20.080000,20.184999,19.895000,20.025000,19.621943,6920400
2014-08-25,20.325001,20.431667,20.233334,20.325001,19.915907,4961400
2014-08-26,20.350000,20.525000,20.350000,20.379999,19.969797,4384800
2014-08-27,20.398333,20.445000,20.260000,20.358334,19.948563,2893200
2014-08-28,20.143333,20.346666,20.083332,20.315001,19.906107,5814000
2014-08-29,20.416668,20.490000,20.213333,20.480000,20.067781,3961200
2014-09-02,20.556667,20.570000,20.223333,20.438334,20.026953,4905000
2014-09-03,20.676666,20.691668,20.333332,20.426666,20.015518,4125600
2014-09-04,20.506666,20.743334,20.158333,20.311666,19.902834,8082600
2014-09-05,20.303333,20.615000,20.083332,20.600000,20.185368,5301000
2014-09-08,20.533333,20.623333,20.256666,20.441668,20.030220,5616600
2014-09-09,20.373333,20.420000,19.928333,20.056667,19.652966,5799000
2014-09-10,20.081667,20.308332,19.873333,20.283333,19.875072,7174800
2014-09-11,20.030001,20.350000,19.983334,20.328333,19.919172,4292400
2014-09-12,20.281668,20.283333,19.811666,19.983334,19.581110,7386600
2014-09-15,19.988333,20.035000,19.754999,19.934999,19.533751,4700400
2014-09-16,19.823334,20.483334,19.783333,20.388332,19.977957,5578200
2014-09-17,20.480000,20.743334,20.166668,20.463333,20.051455,10140000
2014-09-18,20.648333,20.796667,20.576668,20.783333,20.365013,4040400
2014-09-19,20.995001,21.041668,20.606667,20.750000,20.332346,5890200
2014-09-22,20.611668,20.625000,20.125000,20.243334,19.835878,6739800
2014-09-23,20.023333,20.280001,19.878332,19.900000,19.499454,6740400
2014-09-24,19.900000,20.386667,19.743334,20.360001,19.962070,7171800
2014-09-25,20.184999,20.190001,19.353333,19.371668,18.993050,10516200
2014-09-26,19.456667,19.969999,19.393333,19.844999,19.457130,7406400
2014-09-29,19.311666,19.818333,19.264999,19.721666,19.336208,6807000
2014-09-30,19.760000,19.938334,19.441668,19.559999,19.177700,7722600
2014-10-01,19.453333,19.473333,18.633333,18.773333,18.406408,17805000
2014-10-02,18.719999,18.963333,18.190001,18.761667,18.394974,13137000
2014-10-03,19.145000,19.501667,18.973333,19.383333,19.004490,12651000
2014-10-06,19.621668,19.705000,19.110001,19.311666,18.934221,11344800
2014-10-07,19.020000,19.145000,18.420000,18.430000,18.069788,12409800
2014-10-08,18.443333,19.459999,18.158333,19.398333,19.019196,17144400
2014-10-09,19.286667,19.366667,18.188334,18.221666,17.865524,17983800
2014-10-10,18.215000,18.481667,17.593332,17.601667,17.257647,20641200
2014-10-13,17.559999,17.770000,16.700001,16.733334,16.406286,15702600
2014-10-14,17.000000,17.368334,16.626667,16.820000,16.491253,18352200
2014-10-15,16.129999,16.581667,15.246667,16.410000,16.089268,31675800
2014-10-16,15.570000,16.756666,15.525000,16.400000,16.079462,28059600
2014-10-17,16.988333,17.338333,16.775000,17.016666,16.684078,19431600
2014-10-20,16.906668,17.526667,16.883333,17.498333,17.156336,9345000
2014-10-21,17.875000,18.561666,17.818333,18.531668,18.169470,16013400
2014-10-22,18.641666,18.764999,18.115000,18.145000,17.790359,12403800
2014-10-23,18.681667,19.108334,18.575001,18.781668,18.414581,11384400
2014-10-24,18.844999,19.206667,18.645000,19.178333,18.803497,7774800
2014-10-27,18.991667,19.200001,18.783333,19.111668,18.738131,10168200
2014-10-28,19.309999,19.773333,19.283333,19.748333,19.362356,8742600
2014-10-29,19.806667,19.980000,19.281668,19.696667,19.311695,11719200
2014-10-30,19.508333,20.225000,19.476667,20.078333,19.685904,15306600
2014-10-31,20.783333,20.790001,20.478333,20.740000,20.334642,10817400
2014-11-03,20.809999,20.981667,20.633333,20.773333,20.367319,7456800
